Username,Comment
@ianeccles111,"Good film, worth watching."
@bethparker1500,"This made me so uptight, had to take a break. Good acting"
@bobbyblackman8560,"I live movies like this,this is a good one 👍"
@SembuaHumpdediddle,il cuit.
@jamespearson3071,This is a great movie  I've watched it several times!
@IJIgnatov,"Shame ! Nobody cares of the glory of Ukraine ! Glory to Coca-Cola, Captain America, Batman, Superman, Santa Claus and all Hollywood heroes 💋💔"
@desmondreddie8865,Daughter is Very disrespectful
@LezmaReid,Love this  one
@delifaSamson,Watching from Malawi🇲🇼
@ashrafahmed1597,It's nice movie.. Watching from  Bangladesh
@LondiweMabaso-ql6fs,❤❤❤😢
@MoivinSulunker,"do you have anything to be eaten?
things don't eat themselves.  most things."
@MoivinSulunker,"Father/daughter adventurous flicks were a genre of their own durin this spannin of time.  Pluto in Capricorn, sign of fathers."
@MoivinSulunker,"""Put your seatbelt on.""  On what?  The writer or writresse really left us a-hangin with that one!  No resolution."
@dartigueloubejeanbernard-vl9kq,Pas de pitié pour le hezbollad.
@beautymwewa4471,Worth watching
@Lian-p3d,Trnyata Cewek gaun putih jas cream Ankny Kepala Geng Mafia.Yg Krja SM Dngn Oknum
@Lian-p3d,"Pol dn Kepala Geng Mafia SM Aj.Ngeburu,Ngejar""BPK dn Ank Gadisnya yg TDK Bersalah. Koplak itu"
@AthwellNdleleni,Watching from South Africa this movie makes me feel emotional the relationship of the father nd his daughter at the end.. 😢
@davyp2993,"Most excellent movie.
Well worth watching.
Thanks for the upload."
@alexmawaya-j8y,good movie worth watching
@خيرالدينزيور,"فلام،مريكا،يكشن،،حرب،،شظر😢😢
سيرب،أصرب،وأخدرة،سير😮😮"
@tomassedaya5331,Very good thriller movie
@mypathswuro6080,"Watching from Kohima, Nagaland for the very first time. It's awesome"
@quemades,"Brussels, the heart of the na zi empire, an evil place."
@fritzmeynejr2983,Great movie....
@dadengsuparman8423,fULL mOVIE MANTUL
@sizwesimelane,🇸🇿
@dickharvee4539,Be good to be able to hear what they are saying.
@iPaul_mg,I hate the way the daughter keeps on complaining
@Chena2025,Good movie!
@analynardiente1343,❤
@shermeemamani5445,Can I get a soulmate
@saidezilabozilabo890,Amazing. this movie is the best of.
@UNIQUEBD786,"Watching from Dhaka, Bangladesh 🇧🇩🇧🇩🇧🇩"
@felixaguilar9426,Amen same here
@debbiefranklin9825,Excellent 🍿🎥
@derrensmith9790,"In my Opinion, Aaron Eckhart has been labeled as underrated actor. How incredulous for Hollywood to pick and choose! Follow the money folks, absolutes become very real and the truth is exposed."
@jameskamanu-tw1co,Father also do first aiy😢
@AsankaLakmal-AL,Super movie 🍿
@NenitaJulloso,2nd time i watch this movie
@davidkubasiak9093,Really secure facility in the opening scene.   One guy goes in and kills a dozen people and robs the place
@juliomatimbe5078,"I read that one, we don't need war in Mozambique lol"
@alanpadillo3751,Watching from Philippines
@JasonStatham-hv3om,I am a religious person also but what does all this religion replies have to do with this movie ?
@vinugnairmuscat,Watching from oodanavattam
@DomRichard-h8f,COMMENTS MADE ME WATCH DIS MOVIE❤❤❤❤. IT'S  MASTERPIECE ❤❤❤❤❤
@ernestopardo5488,Gud movie I enjoy it
@ruthnoble7368,Impressive - awesome intelligent movie!👏👏👏👏
@SheriffSillah-ts9fj,Watch from free town nice movie
@nafigasper2814,Watching from Tanzania 🇹🇿
@annsalcepuedes1846,Watching from Philippines
@liyasolomanzaka5324,Version. Français
@liyasolomanzaka5324,Version fracais
@senakabandara5973,Worth to watching.. ❤
@swapnapais8379,Nice movie though I couldn't follow the plot at some point of time .. Worth watching.. ❤🎉
@عمرشباكي,"لكل من يقرأ هذه الرسالة 
اسأل الله العظيم رب العرش العظيم ان يعطيك خير ما يعطي عباده الصالحين"
@sivaramalingammaruthalinga3876,"Very good 👍  movie 
I really love ❤️ ❤❤it"
@SweetAnkrah1,Very good movie
@nuelasehindemi4769,Wonderful movie
@leattaleake8756,A very good movie. Very suspenseful and full of intrigued. I enjoyed it very much. Thank you for posting.
@ShaunEksteen,One day l will  meet you
@ShaunEksteen,"Love the movie ❤❤❤❤❤❤❤❤❤🙏🙏🙏🙏🙏🙏🙏🙏🙏
❤❤❤❤❤❤❤❤"
@donaldlabane3223,wow 😉👌watching from South Africa at Brits
@jerrywhitlock4028,Does that make you better than the rest of us
@alexchristopher221,👍👍Great espionage thriller.
@MEGNOLIAMAMAFHA,😂😂😂😂 watching from Grasmere south africa
@aliatariq2738,Annoying entitled rude teenagers of west. Seems there is no importance on “brought up”.
@StrikeMbele,Top movie izinja watching from south Africa mzansi at daveyton
@nicolaedragan5862,SUPER
@k.cmorcom1555,"Really, really good movie, worth watching."
@AbuCharles,😊😊
@AbuCharles,😊😊
@genwu84,Amen
@VittorioGerlini,Thanks fo share it was a great movie
@TristanBanados-gw7ch,Great movie❤❤❤
@misheckbwalya5311,Like my comment if u watching from USA
@ekojulieko,BEST MOVIE...
@asingurabrian,So interesting ❤
@karLGoesEverywhere,You'd better watch this right away
@AhmadMelhem-t6y,"فلم حلو
نريدترجمه الى العربيه👍👍👍👍👍💐💐💐💐💐"
@ivanakucerova8711,"Super film,hvala,BRAVO"
@johnedgecombe-g4b,"R.N.ENGLISH, JUST VIEWED ( HUNT), FAIRLY GOOD MOVIE, MYSTERY THRILLER ,ACTION THAT KEPT YOU IN SUSPENSE.ALWAYS LIKED ECKHART MOVIES, GREAT PLOT & STORY CHARACTER ACTOR...
RATING 8/10 ,❤ED THE MOVIE..
FROM( AUSSIE JOHN)....."
@TheBlueskyson,Great to see Harrison Ford on the big screen again. ty 4 cool movi.
@pauldaystar,"Watching From Alaska, Thankyou, Corp. Greed, Govt. Greed, Deception, Corruption in Govt in Human Trafficking is 30%+"
@erwinazwir4638,Penipuan ga ada sub in nya
@lilahantenorio5331,Great movie  I watched this  4x already ❤❤❤
@unclemalume8171,Watching from Lusaka 🎉
@laurieedeburn2449,dirks a dirty guy..  first glance
@MirriamChijikwa-lc9jy,Watching from my village choma Zambia 🇿🇲🇿🇲🇿🇲
@lizalindaodaggay6732,excellent movie .....amazing .....watching from doha qatar
@sandrahall6321,"please let them take Amy she is really getting on my last nerve why can,t she listen to her father"
@WayneAyotte-j4g,This a good movie if you believe do it everyone has an opinion when we die i dont know if we come back or just nothingness i guess time will tell but we may never know watch the movie. Ty
@dziewczyna_w_kapturze10,Wow cool film
@ShackericaStret,"Amy throw the movie away for me,  she was just extra all the way"
@PvtNemesis,"Good enough to see it through, slow enough to need fast forward"
@ricardoverygood4520,"Thank you for the excellent movie, man!!!!!!"
@ricardoverygood4520,"Thank you for the excellent movie, man!!"
@fidelisrichardkim6413,From capital city of Africa 🇰🇪🇰🇪🇰🇪
@antoniotungpalan2849,This is chief of station.not hunt.
@alejandrotoribio5011,Amen 🙏 🙏 🙏 Hallelujah.  Praise God Almighty our Jehovah God.  Thank you Lord Jesus Christ my Lord and Savior.
@sboj2186,A very good movie 👍😊
@Bigbabyafool7109,Well worth the watch. I can't believe I passed on this movie so many times.
@carlosfields9937,Seems okay but missed a lot of the conversation because of the low audio at times.
@gemox3225,This was quite an amazing movie.
@alicetimini6866,Watching from 🇵🇬
@MyCinemaEurope,"Good, but not enough!"
@LonelyNkhoma-uo1st,Nice
@cumargeeddi8013,Waiting from.somalia great movie
@obinnadike3923,This man's daughter is a nuisance
@MondliMhlongo-db9vd,❤❤❤❤
@TWALIBTWAHIR,"Wow. Watching from Jinja, Uganda"
@darkmoon69ful,"Great action movie🎉🎉but as a father of 3 daughters, I was really touched by the father/daughter relationship especially towards the end when they re united awesome ending. Thank you for sharing❤❤😊😊"
@dovontaereid4180,"It's a good movie , I watch it more than one time, watching from  Jamaica 🇯🇲"
@vickyawiten9497,"Watching from the Cebu Philippines,, very nice movie ❣️❣️❣️"
@vickyawiten9497,"Very nice movie,,, very interesting,,i love IT ❤️❤️❤️"
@abunaylah405,Watching from Wakanda (Uganda 🇺🇬)
@novabinainsani9477,Nice ❤❤❤❤
@joselynbarbosa4981,Thank you...very good movie 👍👍👍👍👍👍👍
@asangamametu6353,❤ great movie watching from South Africa
@PrinceMsiza-zr4yt,Good movie
@jaomwtoptd,"Good movie, but it's difficult to hear what they say."
@christianzetterqvist5028,"Svenska ::   Sweden 
Bra film Fortsätt Med ditt jobb ,Tack"
@BusariZianab,Watching from Nigeria
@marcelinatejada53,Watching from Philippines 🇵🇭
@e.l-e.ssadia275,Good movie
@masumahmed8320,Watching from Bangladesh🇧🇩
@rickmoore3150,Two thumbs way up!!! Exceptional film.
@devaughnjohnson8119,GOOD MOVIE!!!!!!!
@marcelinatejada53,Watching from Philippines 🇵🇭
@willie4551,Excellent movie. Crime really does not pay!!!!!!!
@theresatennis1963,Amen hallelujah!!!
@mattmacdonnell4166,"Good clip excellent,  plot, story line , owsome,  we'll worth watching well done"
@Nhlakez,Le bioskop emnandi kodwa le ntombazana eno mqondo o file...Indi bora...eintlik...onyabile!
@TabethChauke,I love it
@wendyhughes8740,"Ive watched and rewatched and still brilloant, moving end. Well worth the watch."
@TauKataina,Da mvie hve be suit to me i sn it
@rhojelgopie6812,Great movie
@leahrietveld4617,Amazing movie make me cry in the end thank you ❤
@florencatchulu963,deus ser o mais intigente e jesus cristo nos fizeram e nos controlam sao poderosos ore cre ler a bilia sagradda nao viva de ilusoes do que ve em todo globo ou escala humanitaria o espirito santo nos guia amem a paz da missionaria flor
@A0A4ful,"What's worse for Harvey Dent? - 
Having one half of his face erased, or
His whole identity erased?
A case for Batman!"
@VillanethBañagale,Watching from Philippines...good movie...Olga.🌹👍
@joselitaalfonso3634,"Aaron Eckhart is the ""President"" in Olympus has fallen n in London has fallen..."
@nildamartin5697,From Julie phil
@nildamartin5697,Thanks for a nice movie keep it up
@patchadams4me,Leftist propaganda.
@branditaylor671,Watching  form Blanca Colorado
@litopelobello2415,Watching from the philippines
@rogerthat10-47,AE a Vastly underrated actor
@riccardolaurence8899,Olga Kurylenko .
@mikeford5106,Bloody good film !!!
@RanjeetSingh-dm9uv,Great movie....I am watching from india
@wesleyshepherd7690,Jesus Died For Your Sins: Is A STATEMENT Filled With TECHNICALITIES! At No Time Can The  RIGHTEOUS Be RIGHTEOUSLY MURDERED For SINS Of The WICKED; And Be Called RIGHTEOUSNESS. Fire
@x0z59,Thumbs up 1 million times!!!!
@mrh0wler353,"Speeding at over 100, pull the parking brake, skid to a quick  stop, safely."
@peterbrittain1963,"gave this a thumbs up,, was a good spy thriller ..lots of twists and turns , and the ole double cross .."
@lystamukemba2375,"Je  vais stope sinon je vais perdre tout les progames u

aub   mercie   pour la   bonne  comprehenssion  a demain"
@lystamukemba2375,"Grace je hefft mijn opladen  p

op ge nomen dat  is niet"
@lystamukemba2375,Ou ton tel.
@barneyohara7804,JESUS loves you and died for your sin and on the third day he rose again repent and trust in him
@lystamukemba2375,Probleme Grace heeft mij oplade op meegenomen  ik geen anders  sorry.
@lystamukemba2375,"Met le film en 
qüestiom aub"
@lystamukemba2375,Poste balance le film aub
@lystamukemba2375,Chargeur  Grace a pris dans le ou  ça stoppe?? sorry
@pecsisani5664,❤❤❤❤❤❤❤😮😮 nice movie 🎥 God Almighty 🕊️🕊️🕊️ holy father David 👑
@ApiseThonger,Worth watching ❤❤❤
@ProductOf5920Minerva,between watching this movie and reading this book....WARNING....Im a 🫦 nervous wreck. 🤣🤣🤣🤣🫣😵‍💫🫣😵‍💫
@ProductOf5920Minerva,UHM !!!! RAN ACROSS AN INTERESTING ONE THIS TIME😮 GEESH!!! 🫣.....😵‍💫... WOW😲
@lizmusaasizi5786,Nice one to watch for sure LOVE it ❤❤❤
@AllisonElisePlaatjies,❤❤❤❤❤❤❤❤❤
@mariomaputi3393,Great movie. Thank you
